id,imageUrl,title,size,alto,ancho,clarity,N1,N4,N8,Nsize,Ndimensions
6410,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-03-01_16210001032024_162058computadorrecordatoriodepago2024.png,computadorrecordatoriodepago2024,381525,1954,682,48.55,69.21979522705078,64.83753204345703,65.26668548583984,65.99186706542969,64.70279693603516
6413,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-03-01_17014601032024_170145whatsappimage20240301at105659am2.jpeg,whatsappimage20240301at105659am2,255749,1600,1600,46.89,69.15505981445312,56.9169921875,54.96366882324219,60.62742614746094,42.456024169921875
6412,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-03-01_17014401032024_170143whatsappimage20240301at105659am1.jpeg,whatsappimage20240301at105659am1,144303,1600,1600,70.28,62.797325134277344,57.710601806640625,45.707763671875,62.797325134277344,43.784183502197266
6414,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-03-01_17014801032024_170147whatsappimage20240301at105659am.jpeg,whatsappimage20240301at105659am,190623,1600,1600,65.19,62.46452331542969,54.46589660644531,48.87845993041992,62.46452331542969,39.0496940612793
6415,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-03-01_17365101032024_173650whatsappimage20240301at110639am.jpeg,whatsappimage20240301at110639am,535789,1600,1600,33.63,56.29119873046875,50.169212341308594,52.46040725708008,41.97937774658203,34.643768310546875
6416,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-03-01_19115401032024_191150capturadepantalla20240229alas153155.png,capturadepantalla20240229alas153155,1089306,541,1185,24.96,64.58299255371094,63.64851379394531,36.58428192138672,32.360008239746094,28.90089225769043
6417,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-03-01_19123201032024_191230capturadepantalla20240229alas152531.png,capturadepantalla20240229alas152531,708677,455,1087,51.08,72.18994903564453,58.43527603149414,39.775543212890625,46.979610443115234,38.29587936401367
6418,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-03-01_19124601032024_191243capturadepantalla20240229alas152512.png,capturadepantalla20240229alas152512,883381,454,1084,29.2,58.78387451171875,45.5774040222168,33.135894775390625,33.135894775390625,30.9915714263916
6419,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-03-01_19130901032024_191307capturadepantalla20240229alas152450.png,capturadepantalla20240229alas152450,609962,461,1089,36.8,74.2060775756836,70.7040786743164,53.22157669067383,64.83397674560547,53.00058364868164
6428,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-03-01_21094801032024_210947lifemilesdoblemillaskvfinal.jpg,lifemilesdoblemillaskvfinal,64709,792,612,53.0,72.7960205078125,64.12397766113281,57.393211364746094,72.7960205078125,45.50516891479492
6429,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-03-01_21115801032024_211157kvpsmtreciclajefinal.jpg,kvpsmtreciclajefinal,82494,792,612,38.77,65.96687316894531,61.987281799316406,65.14506530761719,65.96687316894531,47.06069564819336
