,memory_1,memory_2,predict,size,width,height
0,836.2734375,836.34375,51.59284973144531,898.6240234375,4134,2738
1,836.34375,836.27734375,55.814186096191406,2260.08984375,4928,3264
2,836.27734375,836.3203125,56.601593017578125,1091.4130859375,4608,2592
3,836.3203125,836.45703125,74.26934051513672,598.8369140625,2742,1828
4,836.45703125,836.484375,61.51207733154297,291.4091796875,2200,1650
5,836.484375,836.59765625,72.71336364746094,428.1611328125,4320,3240
6,836.59765625,836.5625,60.071529388427734,320.7177734375,4326,2884
7,836.5625,836.578125,47.76467514038086,2170.4638671875,4240,2832
8,836.578125,836.59375,43.519813537597656,841.736328125,3800,2850
9,836.59375,836.59765625,60.44446563720703,272.6533203125,4272,2848
10,836.59765625,836.4375,57.07063674926758,379.2412109375,5000,3333
11,836.4375,836.578125,40.609710693359375,1923.216796875,4434,3729
12,836.578125,836.578125,55.42298126220703,78.546875,768,1024
13,836.578125,836.6171875,54.98527908325195,1416.2373046875,3831,2554
14,836.6171875,836.64453125,49.23307800292969,581.470703125,2729,2047
15,836.64453125,836.5546875,60.43840789794922,412.8359375,2500,1667
16,836.5546875,836.44921875,53.72364044189453,738.6865234375,4179,2790
17,836.44921875,836.57421875,65.8056640625,77.8974609375,1280,774
18,836.57421875,836.5625,56.73472595214844,711.0595703125,3011,2000
19,836.5625,836.515625,41.75457000732422,1352.3623046875,3994,2443
20,836.515625,836.63671875,54.367408752441406,919.8212890625,3264,2448
21,836.63671875,836.61328125,59.976470947265625,212.87890625,2000,1333
22,836.61328125,836.55859375,63.349578857421875,138.2099609375,1500,1000
23,836.55859375,836.58203125,58.84859848022461,287.267578125,3872,2592
24,836.58203125,836.60546875,56.75314712524414,405.48828125,3264,2448
25,836.60546875,836.56640625,40.498382568359375,407.5966796875,4288,2848
26,836.56640625,836.56640625,53.555904388427734,55.095703125,1280,848
27,836.56640625,836.5859375,42.77737045288086,1259.1357421875,4272,2848
28,836.5859375,836.56640625,59.36174011230469,586.9814453125,2560,1707
29,836.56640625,836.5390625,53.600921630859375,397.697265625,3072,2048
30,836.5390625,836.515625,53.08484649658203,388.271484375,2500,1667
31,836.515625,836.5,55.826881408691406,443.7412109375,2515,1830
32,836.5,836.51953125,51.34036636352539,1697.1982421875,4228,2773
33,836.51953125,836.69921875,58.768585205078125,665.447265625,4080,2720
34,836.69921875,836.6171875,63.91455841064453,961.6044921875,3888,2592
35,836.6171875,836.5546875,45.487579345703125,263.232421875,3264,2448
36,836.5546875,836.578125,46.93220138549805,1511.0830078125,4250,2801
37,836.578125,836.6171875,56.79670715332031,228.74609375,1920,1280
38,836.6171875,836.53125,58.278114318847656,1631.279296875,4928,3264
39,836.53125,836.5859375,50.95585632324219,743.5810546875,3888,2592
40,836.5859375,836.48828125,37.27024841308594,416.0234375,3264,2176
41,836.48828125,836.5390625,59.56471252441406,855.328125,5000,3320
42,836.5390625,836.46484375,57.22481155395508,110.462890625,1500,1500
43,836.46484375,836.47265625,48.70529556274414,854.0478515625,2448,2448
44,836.47265625,836.5390625,80.22117614746094,58.0380859375,2048,1365
45,836.5390625,836.56640625,75.93978881835938,229.3037109375,2392,1260
46,836.56640625,836.5546875,57.175716400146484,810.810546875,3465,3008
47,836.5546875,836.625,60.97314453125,398.6787109375,3888,2592
48,836.625,836.6171875,56.862850189208984,303.1806640625,2592,1728
49,836.6171875,836.55859375,72.6416244506836,392.419921875,2896,1944
50,836.55859375,836.609375,50.20994567871094,80.4365234375,1920,1200
51,836.609375,836.58203125,50.5433235168457,514.1103515625,2177,3264
52,836.58203125,836.53515625,65.61286926269531,190.5615234375,2133,1200
53,836.53515625,836.546875,41.00877380371094,1580.7724609375,5000,2806
54,836.546875,836.671875,50.797386169433594,1133.1396484375,4272,2848
